Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl
2018-03-07,CTD11,4169609,700351,0.1168,0.0873,0.0681,0.0308,0.0247,0.0184,0.0158,0.0134,0.0117,0.0057,0.0006,0.0029,0.0018,3.7585
2018-03-07,CTD12,4173438,695414,0.1188,0.0847,0.0643,0.0294,0.0249,0.0183,0.0172,0.0135,0.0119,0.008,0.0009,0.0036,0.0028,2.6855
2018-05-16,CTD1,4187246,695025,0.1288,0.106,0.0853,0.0512,0.0459,0.0391,0.039,0.035,0.0322,0.0104,0.0008,0.0235,0.0181,0.516
2018-05-16,CTD2,4181518,693105,0.1333,0.1078,0.0878,0.0574,0.0504,0.0474,0.0483,0.0449,0.0431,0.014,0.001,0.0331,0.0268,1.1605
2018-05-16,CTD3,4181698,695238,0.1313,0.1057,0.086,0.0576,0.0514,0.0488,0.0483,0.0447,0.0437,0.014,0.001,0.034,0.0271,0.9955
2018-05-16,CTD4,4180266,698264,0.128,0.105,0.0837,0.0551,0.0482,0.044,0.044,0.0414,0.04,0.0128,0.0009,0.0304,0.0243,1.79
2018-05-16,CTD5,4179450,700268,0.1323,0.111,0.092,0.0549,0.0486,0.0469,0.0449,0.0419,0.0424,0.0135,0.0008,0.033,0.0265,0.7685
2018-05-16,CTD6,4176009,695829,0.1353,0.1152,0.0913,0.064,0.0542,0.0507,0.0517,0.0517,0.0486,0.0149,0.001,0.0368,0.0302,13.357
2018-05-16,CTD7,4176724,690397,0.1388,0.119,0.1072,0.0654,0.057,0.0505,0.0495,0.0464,0.0448,0.0145,0.0009,0.0335,0.026,3.6675
2018-05-16,CTD8,4174178,693048,0.1363,0.1168,0.097,0.0645,0.0572,0.0532,0.0529,0.05,0.0487,0.015,0.0008,0.0384,0.0313,24.033
2018-05-16,CTD9,4171106,693183,0.1405,0.124,0.1129,0.0866,0.0729,0.0559,0.0563,0.0527,0.0521,0.0153,0.0008,0.0387,0.0315,0.235
2018-05-16,CTD10,4170388,695646,0.1359,0.1134,0.0954,0.0656,0.0583,0.0549,0.0516,0.0507,0.0501,0.0156,0.0006,0.0392,0.032,1.866
2018-05-16,CTD11,4169609,700351,0.1395,0.1126,0.0949,0.0642,0.0565,0.0528,0.0542,0.0445,0.0516,0.0161,0.0008,0.0397,0.0328,8.8935
2018-05-16,CTD12,4173438,695414,0.1388,0.1178,0.0943,0.0654,0.058,0.0544,0.0547,0.0537,0.0495,0.0161,0.0007,0.04,0.0334,22.946
2018-06-20,CTD1,4187246,695025,0.1414,0.1209,0.0996,0.0768,0.0675,0.0617,0.0618,0.0593,0.0562,0.0135,0.0008,0.0455,0.0352,1.063
2018-06-20,CTD2,4181518,693105,0.1438,0.1204,0.1003,0.071,0.0649,0.0625,0.0632,0.0556,0.0595,0.014,0.0008,0.0466,0.0368,0.8245
2018-06-20,CTD3,4181698,695238,0.1441,0.1223,0.1,0.073,0.0687,0.065,0.0659,0.0584,0.0632,0.015,0.0006,0.05,0.0405,1.0775
2018-06-20,CTD4,4180266,698264,0.1328,0.1068,0.0831,0.0541,0.0514,0.0475,0.047,0.0439,0.043,0.0105,0.0006,0.0321,0.0264,0.8939999999999999
2018-06-20,CTD5,4179450,700268,0.1387,0.1227,0.1022,0.0644,0.0573,0.0565,0.0549,0.0536,0.0512,0.0114,0.0006,0.041,0.0319,0.6465
2018-06-20,CTD6,4176009,695829,0.1427,0.1213,0.0992,0.0718,0.0638,0.0623,0.0603,0.0557,0.0585,0.0141,0.0005,0.0465,0.0362,1.132
2018-06-20,CTD7,4176724,690397,0.1424,0.1216,0.0993,0.0746,0.0646,0.0614,0.0637,0.0617,0.0589,0.0147,0.0006,0.0461,0.0372,1.2614999999999998
2018-06-20,CTD8,4174178,693048,0.1454,0.1253,0.1067,0.0756,0.0664,0.0614,0.0642,0.0596,0.0616,0.0145,0.0008,0.0484,0.0397,2.2655000000000003
2018-06-20,CTD9,4171106,693183,0.1484,0.1322,0.1163,0.0883,0.0766,0.0653,0.063,0.0573,0.0614,0.0144,0.0008,0.0496,0.0383,2.051
2018-06-20,CTD10,4170388,695646,0.1458,0.1251,0.1015,0.077,0.07,0.0676,0.0659,0.0624,0.0635,0.015,0.0006,0.0509,0.0398,1.2945
2018-06-20,CTD11,4169609,700351,0.1468,0.1151,0.0995,0.0718,0.0654,0.0644,0.0638,0.0579,0.0613,0.0154,0.0007,0.0506,0.0402,1.241
2018-06-20,CTD12,4173438,695414,0.1488,0.1285,0.1071,0.0779,0.0731,0.0714,0.0722,0.0645,0.0698,0.0159,0.0007,0.0544,0.0454,1.1995
2018-07-10,CTD1,4187246,695025,0.154,0.1281,0.1114,0.0868,0.0814,0.0786,0.08,0.0738,0.0752,0.0169,0.001,0.0581,0.0459,7.572
2018-07-10,CTD2,4181518,693105,0.1545,0.1338,0.1114,0.0836,0.0771,0.0733,0.0747,0.0683,0.0704,0.0161,0.001,0.055,0.0433,1.2875
2018-07-10,CTD3,4181698,695238,0.1528,0.1307,0.1094,0.0839,0.0783,0.0741,0.0733,0.0652,0.0738,0.0161,0.0008,0.0553,0.045,1.3025
2018-07-10,CTD4,4180266,698264,0.1522,0.1291,0.1082,0.085,0.0786,0.0755,0.077,0.0687,0.0732,0.0159,0.0008,0.0586,0.0464,1.0005
2018-07-10,CTD5,4179450,700268,0.1579,0.1347,0.1197,0.0863,0.0813,0.0796,0.0808,0.0704,0.077,0.017,0.0009,0.0637,0.05,0.9765
2018-07-10,CTD6,4176009,695829,0.1483,0.1229,0.1046,0.078,0.0711,0.0675,0.0683,0.0626,0.0661,0.0147,0.0011,0.0501,0.0404,1.2759999999999998
2018-07-10,CTD7,4176724,690397,0.1461,0.1217,0.0997,0.0748,0.0685,0.0642,0.0656,0.061,0.0633,0.0139,0.0011,0.0462,0.0363,0.86
2018-07-10,CTD8,4174178,693048,0.1514,0.1283,0.1114,0.0876,0.0759,0.0712,0.0743,0.0698,0.0691,0.0156,0.001,0.0545,0.0421,2.1445
2018-07-10,CTD9,4171106,693183,0.1468,0.127,0.1114,0.0876,0.0726,0.066,0.0632,0.0563,0.0596,0.0138,0.001,0.0476,0.0337,0.0
2018-07-10,CTD10,4170388,695646,0.1507,0.1261,0.1057,0.0838,0.0767,0.0735,0.075,0.0681,0.0723,0.0166,0.001,0.0565,0.046,1.2625
2018-07-10,CTD11,4169609,700351,0.1504,0.1222,0.1023,0.0789,0.0721,0.0696,0.0699,0.0614,0.0677,0.0165,0.0008,0.0539,0.0426,1.569
2018-07-10,CTD12,4173438,695414,0.1525,0.13,0.1105,0.086,0.0769,0.0754,0.077,0.0703,0.0719,0.0162,0.001,0.0581,0.0466,1.4625
2018-08-29,CTD1,4187246,695025,0.1286,0.0978,0.0769,0.0513,0.0453,0.0417,0.0411,0.0347,0.0368,0.0108,0.0008,0.0215,0.0146,9.37
2018-08-29,CTD2,4181518,693105,0.1281,0.0975,0.0736,0.0453,0.0394,0.0363,0.0363,0.0306,0.0314,0.0097,0.0006,0.0166,0.0115,0.6985
2018-08-29,CTD3,4181698,695238,0.1262,0.0963,0.0706,0.0427,0.036,0.033,0.0316,0.0276,0.0272,0.0096,0.0008,0.0132,0.0096,0.7304999999999999
2018-08-29,CTD4,4180266,698264,0.1275,0.0953,0.0694,0.0449,0.0387,0.0353,0.035,0.0293,0.0303,0.0098,0.0007,0.016,0.0116,0.8614999999999999
2018-08-29,CTD5,4179450,700268,0.1287,0.1017,0.0795,0.0436,0.0372,0.0351,0.0334,0.0283,0.0285,0.0098,0.0007,0.0161,0.0113,0.9735
2018-08-29,CTD6,4176009,695829,0.1253,0.0954,0.0724,0.043,0.0358,0.033,0.0316,0.0266,0.0276,0.0088,0.0006,0.0143,0.0102,1.428
2018-08-29,CTD7,4176724,690397,0.127,0.0973,0.0748,0.0468,0.0388,0.0369,0.0367,0.0315,0.0314,0.0101,0.0007,0.0171,0.012,0.752
2018-08-29,CTD8,4174178,693048,0.126,0.0971,0.0741,0.0442,0.0374,0.0331,0.0315,0.0273,0.0267,0.0088,0.0007,0.0135,0.009,1.7654999999999998
2018-08-29,CTD9,4171106,693183,0.1277,0.1059,0.0868,0.0571,0.0473,0.0368,0.0368,0.032,0.0322,0.0101,0.0005,0.0202,0.0141,1.86
2018-08-29,CTD10,4170388,695646,0.1241,0.0918,0.0701,0.0413,0.0369,0.033,0.0314,0.0273,0.0282,0.0092,0.0005,0.0142,0.0105,0.7975
2018-08-29,CTD11,4169609,700351,0.1252,0.0953,0.0714,0.0446,0.0388,0.0337,0.032,0.0276,0.029,0.0095,0.0006,0.0158,0.0108,0.86
2018-08-29,CTD12,4173438,695414,0.1249,0.0958,0.0747,0.0424,0.0367,0.0322,0.0304,0.0257,0.026,0.0086,0.0007,0.0131,0.0088,3.335
2018-10-03,CTD1,4187246,695025,0.1203,0.0856,0.0616,0.0313,0.0247,0.0213,0.0209,0.0153,0.0157,0.005,0.0006,0.0061,0.005,0.7915
2018-10-03,CTD2,4181518,693105,0.1197,0.0856,0.0582,0.0295,0.0233,0.0198,0.0193,0.0146,0.013,0.0045,0.0006,0.0047,0.0026,0.6815
2018-10-03,CTD3,4181698,695238,0.1186,0.087,0.0576,0.0277,0.0219,0.0196,0.017,0.0133,0.0122,0.0045,0.0006,0.0042,0.0029,0.445
2018-10-03,CTD4,4180266,698264,0.1202,0.0843,0.0552,0.0296,0.0247,0.0192,0.0154,0.0134,0.0153,0.0047,0.0006,0.0052,0.0032,0.263
2018-10-03,CTD5,4179450,700268,0.1219,0.0917,0.0672,0.0283,0.0222,0.0191,0.0178,0.0136,0.0132,0.0044,0.0004,0.0047,0.0028,0.6535
2018-10-03,CTD6,4176009,695829,0.1186,0.0861,0.0608,0.0287,0.0218,0.0191,0.0169,0.0131,0.0124,0.0045,0.0004,0.0038,0.0027,1.4125
2018-10-03,CTD7,4176724,690397,0.1184,0.0845,0.0589,0.0281,0.0228,0.0204,0.0183,0.0139,0.0131,0.0044,0.0006,0.0039,0.0027,0.5955
2018-10-03,CTD8,4174178,693048,0.123,0.0924,0.073,0.0356,0.0261,0.0206,0.0191,0.014,0.0132,0.0045,0.0006,0.0038,0.003,2.029
2018-10-03,CTD9,4171106,693183,0.1219,0.0976,0.0769,0.0431,0.0302,0.0201,0.0208,0.0149,0.0149,0.0047,0.0006,0.0061,0.0037,4.133
2018-10-03,CTD10,4170388,695646,0.1196,0.0869,0.0596,0.0305,0.0238,0.0189,0.0187,0.014,0.0132,0.0044,0.0006,0.0048,0.0035,6.0985
2018-10-03,CTD11,4169609,700351,0.118,0.0879,0.0588,0.0301,0.0239,0.0191,0.0193,0.0147,0.0144,0.0047,0.0005,0.0057,0.0038,1.1015
2018-10-03,CTD12,4173438,695414,0.1201,0.0905,0.0667,0.0308,0.0238,0.0192,0.0185,0.0136,0.013,0.005,0.0004,0.0037,0.0026,2.6895
2018-11-07,CTD1,4187246,695025,0.1276,0.0895,0.061,0.0311,0.0263,0.0215,0.0187,0.0172,0.0148,0.0063,0.0008,0.0038,0.0029,111.6385
2018-11-07,CTD2,4181518,693105,0.1262,0.0914,0.0624,0.029,0.024,0.0212,0.0164,0.0138,0.0125,0.0063,0.0006,0.0025,0.0018,0.932
2018-11-07,CTD3,4181698,695238,0.1255,0.0892,0.0596,0.0286,0.0233,0.0194,0.0167,0.0134,0.0122,0.0054,0.0007,0.0023,0.0015,0.702
2018-11-07,CTD4,4180266,698264,0.1255,0.0878,0.0561,0.0287,0.0226,0.0186,0.0174,0.0126,0.0128,0.006,0.0005,0.0019,0.0019,0.739
2018-11-07,CTD5,4179450,700268,0.1308,0.1,0.0696,0.0284,0.0223,0.0189,0.0161,0.0131,0.0131,0.0054,0.0007,0.0013,0.0013,0.6915
2018-11-07,CTD6,4176009,695829,0.1267,0.094,0.0666,0.029,0.0238,0.0196,0.0161,0.0131,0.0131,0.005,0.0006,0.002,0.0007,1.3715
2018-11-07,CTD7,4176724,690397,0.124,0.0866,0.0575,0.0284,0.0241,0.0206,0.0177,0.0135,0.0132,0.006,0.0005,0.003,0.0019,1.0375
2018-11-07,CTD8,4174178,693048,0.1309,0.1028,0.0731,0.0335,0.0261,0.02,0.0173,0.0133,0.0121,0.0052,0.0007,0.002,0.0006,1.9955
2018-11-07,CTD9,4171106,693183,0.1274,0.0997,0.0786,0.0396,0.0284,0.0193,0.0173,0.0138,0.0129,0.0054,0.0005,0.0038,0.0022,8.541
2018-11-07,CTD10,4170388,695646,0.1238,0.0873,0.0581,0.0284,0.0227,0.0194,0.0165,0.0126,0.0112,0.0054,0.0004,0.0025,0.0012,1.3105
2018-11-07,CTD11,4169609,700351,0.1223,0.0869,0.0587,0.0276,0.0222,0.0173,0.0161,0.0132,0.0121,0.0054,0.0007,0.0018,0.0018,0.997
2018-11-07,CTD12,4173438,695414,0.1246,0.0913,0.0623,0.0278,0.0226,0.0193,0.017,0.0128,0.012,0.0052,0.0005,0.0018,0.0016,0.9765
2019-03-12,CTD1,4187246,695025,0.1294,0.0948,0.069,0.0391,0.0319,0.0271,0.0264,0.0213,0.0201,0.0075,0.0008,0.0071,0.0053,0.8174999999999999
2019-03-12,CTD2,4181518,693105,0.1296,0.0984,0.0701,0.0345,0.0276,0.0254,0.0232,0.0186,0.0175,0.0067,0.0006,0.0055,0.0036,1.5505
2019-03-12,CTD3,4181698,695238,0.1285,0.0963,0.0705,0.0345,0.0277,0.023,0.0217,0.0182,0.0174,0.0067,0.0007,0.0053,0.0033,1.1135
2019-03-12,CTD4,4180266,698264,0.1256,0.0904,0.0604,0.0318,0.0266,0.0231,0.0208,0.0171,0.0154,0.0064,0.0006,0.0059,0.0027,0.7515000000000001
2019-03-12,CTD5,4179450,700268,0.1307,0.1064,0.0793,0.0324,0.0254,0.0224,0.0208,0.0169,0.0152,0.0067,0.0006,0.0056,0.0042,0.6699999999999999
2019-03-12,CTD6,4176009,695829,0.1255,0.0935,0.0677,0.0309,0.0255,0.0226,0.0204,0.0161,0.0152,0.0062,0.0006,0.005,0.0031,0.865
2019-03-12,CTD7,4176724,690397,0.1249,0.0908,0.0615,0.0318,0.0265,0.0225,0.0211,0.0154,0.0158,0.0063,0.0008,0.0047,0.0031,1.625
2019-03-12,CTD8,4174178,693048,0.1231,0.0904,0.0613,0.0302,0.0246,0.0204,0.0183,0.0149,0.0161,0.006,0.0005,0.0037,0.0024,0.8979999999999999
2019-03-12,CTD9,4171106,693183,0.1282,0.1047,0.0842,0.0511,0.0367,0.0222,0.0215,0.0177,0.0155,0.0065,0.0006,0.0059,0.0035,0.386
2019-03-12,CTD10,4170388,695646,0.1233,0.0883,0.0618,0.0319,0.0269,0.0231,0.0213,0.017,0.0179,0.0069,0.0006,0.0066,0.0058,0.8
2019-03-12,CTD11,4169609,700351,0.1242,0.0903,0.0634,0.0331,0.0273,0.0245,0.0229,0.017,0.0162,0.0069,0.0006,0.0071,0.0052,0.7545
2019-03-12,CTD12,4173438,695414,0.1272,0.0988,0.073,0.0329,0.0262,0.0221,0.0209,0.0159,0.016,0.0062,0.0006,0.0051,0.0033,1.118
2019-06-25,CTD1,4187246,695025,0.1613,0.1413,0.1219,0.1009,0.097,0.0928,0.0954,0.0891,0.0932,0.0215,0.001,0.0772,0.0623,1.136
2019-06-25,CTD2,4181518,693105,0.1598,0.1383,0.1178,0.1001,0.0928,0.0888,0.09,0.0833,0.0873,0.0208,0.001,0.0741,0.0569,1.5975
2019-06-25,CTD3,4181698,695238,0.1576,0.1319,0.1132,0.0919,0.0842,0.0827,0.0847,0.0774,0.0816,0.0202,0.0009,0.0673,0.0535,1.4635
2019-06-25,CTD4,4180266,698264,0.1545,0.1346,0.1095,0.0905,0.0824,0.079,0.0815,0.076,0.0786,0.019,0.0008,0.0637,0.0503,1.3725
2019-06-25,CTD5,4179450,700268,0.1644,0.1445,0.1266,0.0926,0.0879,0.087,0.0878,0.0825,0.0851,0.0204,0.0008,0.0715,0.0559,0.925
2019-06-25,CTD6,4176009,695829,0.1559,0.1325,0.1107,0.0905,0.0852,0.0819,0.0822,0.0765,0.0775,0.0191,0.0008,0.0667,0.0518,1.5485
2019-06-25,CTD7,4176724,690397,0.1605,0.1351,0.1143,0.0937,0.0887,0.0873,0.0867,0.0797,0.0858,0.0205,0.0008,0.0706,0.0565,2.0515
2019-06-25,CTD8,4174178,693048,0.1602,0.1374,0.1166,0.0958,0.0896,0.089,0.0899,0.0836,0.087,0.0204,0.0008,0.0723,0.0577,1.4695
2019-06-25,CTD9,4171106,693183,0.1593,0.1425,0.1284,0.1016,0.0919,0.0842,0.086,0.078,0.081,0.0194,0.0008,0.0662,0.0514,1.63
2019-06-25,CTD10,4170388,695646,0.1585,0.1341,0.1147,0.0931,0.0859,0.0839,0.0846,0.0773,0.0801,0.0197,0.0006,0.0673,0.0516,1.328
2019-06-25,CTD11,4169609,700351,0.1642,0.1351,0.1179,0.0982,0.0922,0.0917,0.0948,0.0791,0.0925,0.023,0.0008,0.0768,0.0634,1.6625
2019-06-25,CTD12,4173438,695414,0.1582,0.1334,0.1131,0.0909,0.0879,0.085,0.0852,0.0786,0.0815,0.0199,0.0007,0.069,0.0554,1.3955
2019-07-10,CTD1,4187246,695025,0.1343,0.1069,0.0864,0.0589,0.0534,0.0478,0.0502,0.0455,0.0452,0.0117,0.0008,0.0319,0.0231,0.993
2019-07-10,CTD2,4181518,693105,0.1427,0.1187,0.0959,0.0716,0.0657,0.0613,0.0636,0.0563,0.0602,0.0145,0.0008,0.0463,0.0351,0.967
2019-07-10,CTD3,4181698,695238,0.1429,0.1185,0.0965,0.075,0.0649,0.062,0.0623,0.0578,0.0595,0.0146,0.0008,0.0462,0.0362,1.076
